participant,session_time,mem_nom,cond_1st,tree_behaviour,resource_distribution,trial,trial_number,bg_name,bg_type,loop,sample,t_absolute,secs_elapsed,sample_interval,flag,fruits,row,col,x,y
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,1,1,537.418358866867,0.0,,0,0,,,-11.70001220703125,-14.9000244140625
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,2,2,537.4469830705692,0.02862420370217933,0.02862420370217933,0,0,,,-11.70001220703125,-15.4000244140625
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,3,3,537.4799226193758,0.06156375250873225,0.03293954880655292,0,0,,,-11.0,-14.29998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,4,4,537.512903808506,0.09454494163901472,0.03298118913028247,0,0,,,-250.5999755859375,62.79998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,5,5,537.5469013734269,0.1285425065598247,0.033997564920809964,2,1,4.0,5.0,-326.4000244140625,65.29998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,6,6,537.7630155336002,0.3446566667331581,0.2161141601733334,3,1,4.0,5.0,-357.0999755859375,88.39999389648438
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,7,7,537.8969712822521,0.4786124153851006,0.13395574865194249,3,1,4.0,5.0,-364.0,95.29998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,8,8,538.0299349941762,0.6115761273091493,0.13296371192404877,3,1,4.0,5.0,-365.29998779296875,93.5
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,9,9,538.1629198195038,0.7445609526367889,0.13298482532763956,3,1,4.0,5.0,-366.0999755859375,94.79998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,10,10,538.2969101706784,0.8785513038113777,0.1339903511745888,3,1,4.0,5.0,-364.5,100.60000610351562
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,11,11,538.4299216810023,1.0115628141352317,0.13301151032385405,3,1,4.0,5.0,-361.0,96.10000610351562
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,12,12,538.5629387629187,1.1445798960517095,0.13301708191647776,3,1,4.0,5.0,-372.4000244140625,105.70001220703125
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,13,13,538.6969384978282,1.2785796309611897,0.13399973490948014,3,1,4.0,5.0,-369.5999755859375,103.79998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,14,14,538.8299415041423,1.4115826372752736,0.1330030063140839,3,1,4.0,5.0,-371.70001220703125,104.0
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,15,15,538.962940698314,1.5445818314469761,0.13299919417170258,3,1,4.0,5.0,-364.70001220703125,106.5
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,16,16,539.0969483507499,1.678589483882888,0.13400765243591195,0,1,,,-34.29998779296875,112.10000610351562
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,17,17,539.1299955192666,1.7116366523995339,0.0330471685166458,0,1,,,173.800048828125,124.29998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,18,18,539.1630028069097,1.7446439400426925,0.033007287643158634,0,1,,,181.300048828125,118.29998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,19,19,539.1969587315067,1.7785998646396592,0.033955924596966724,0,1,,,179.300048828125,111.0
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,20,20,539.2299481314051,1.8115892645380427,0.032989399898383454,1,1,4.0,11.0,182.800048828125,110.60000610351562
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,21,21,539.4470355608365,2.028676693969487,0.21708742943144443,3,1,4.0,11.0,251.199951171875,103.89999389648438
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,22,22,539.5800115889126,2.1616527220455737,0.13297602807608655,3,1,4.0,11.0,245.0,100.10000610351562
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,23,23,539.7130342424217,2.294675375554675,0.13302265350910147,3,1,4.0,11.0,241.300048828125,103.29998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,24,24,539.8469600804186,2.4286012135515875,0.13392583799691238,3,1,4.0,11.0,238.300048828125,90.29998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,25,25,539.9799630867327,2.5616042198656714,0.1330030063140839,3,1,4.0,11.0,244.9000244140625,90.0
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,26,26,540.112979288924,2.6946204220569143,0.13301620219124288,3,1,4.0,11.0,245.5,86.79998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,27,27,540.2470018966874,2.8286430298203413,0.134022607763427,2,2,7.0,11.0,254.5999755859375,-174.20001220703125
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,28,28,540.4630726570866,3.044713790219589,0.21607076039924777,3,2,7.0,11.0,231.0,-230.29998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,29,29,540.5970436543079,3.1786847874408295,0.1339709972212404,3,2,7.0,11.0,234.699951171875,-222.20001220703125
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,30,30,540.730006193265,3.311647326397974,0.13296253895714472,3,2,7.0,11.0,232.4000244140625,-215.5999755859375
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,31,31,540.8630018685362,3.444643001669192,0.1329956752712178,3,2,7.0,11.0,225.0999755859375,-215.0
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,32,32,540.997005415588,3.57864654872094,0.13400354705174777,3,2,7.0,11.0,218.800048828125,-217.5999755859375
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,33,33,541.1300568067853,3.711697939918281,0.13305139119734122,3,2,7.0,11.0,218.4000244140625,-217.9000244140625
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,34,34,541.2630296092026,3.844670742335552,0.13297280241727094,0,2,,,144.4000244140625,-222.70001220703125
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,35,35,541.2970696941724,3.8787108273053263,0.0340400849697744,2,3,7.0,5.0,-366.79998779296875,-175.5999755859375
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,36,36,541.5131636206672,4.09480475380019,0.2160939264948638,3,3,7.0,5.0,-386.0999755859375,-179.29998779296875
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,37,37,541.6471067599254,4.228747893058312,0.13394313925812185,3,3,7.0,5.0,-380.79998779296875,-185.9000244140625
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,38,38,541.780013876198,4.3616550093310025,0.13290711627269047,3,3,7.0,5.0,-385.20001220703125,-203.9000244140625
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,39,39,541.9130291986642,4.494670331797124,0.1330153224661217,3,3,7.0,5.0,-386.9000244140625,-212.5
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,40,40,542.047092860268,4.628733993400942,0.13406366160381822,3,3,7.0,5.0,-392.5,-216.70001220703125
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,41,41,542.1800477749405,4.761688908073438,0.13295491467249576,2,4,9.0,1.0,-744.1000061035156,-447.5999755859375
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,42,42,542.3971011883327,4.978742321465688,0.21705341339225015,3,4,9.0,1.0,-764.3000030517578,-452.5
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,43,43,542.5300361625685,5.111677295701497,0.13293497423580902,3,4,9.0,1.0,-759.6999969482422,-454.4000244140625
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,44,44,542.6630652673954,5.244706400528344,0.13302910482684638,3,4,9.0,1.0,-757.6999969482422,-463.0999755859375
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,45,45,542.7970550320865,5.3786961652194805,0.13398976469113677,3,4,9.0,1.0,-757.8999938964844,-464.5999755859375
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,46,46,542.9300556924668,5.511696825599756,0.1330006603802758,3,4,9.0,1.0,-754.3999938964844,-454.4000244140625
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,47,47,543.0631554685474,5.644796601680355,0.13309977608059853,3,4,9.0,1.0,-760.6000061035156,-454.0
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,48,48,543.197073389018,5.778714522150949,0.13391792047059425,1,4,1.0,1.0,-734.3999938964844,352.8999938964844
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,49,49,543.4141968871805,5.995838020313499,0.21712349816255028,3,4,1.0,1.0,-743.6999969482422,345.1999969482422
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,50,50,543.5471040034532,6.12874513658619,0.13290711627269047,3,4,1.0,1.0,-743.3000030517578,342.1000061035156
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,51,51,543.6801257772371,6.261766910370056,0.1330217737838666,3,4,1.0,1.0,-743.0,346.6999969482422
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,52,52,543.8141111433025,6.3957522764354735,0.1339853660654171,3,4,1.0,1.0,-747.6000061035156,356.8000030517578
P039,20191024143245,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,53,53,543.947077494402,6.5287186275349995,0.13296635109952604,1,4,1.0,16.0,748.0999755859375,363.3000030517578
